number,value,datetime_start,datetime_complete,duration,params_BollingerBands_period,params_BollingerBands_std_dev,params_MACD_fast_period,params_MACD_signal_period,params_MACD_slow_period,params_RSI_period,params_SMA_long_period,params_SMA_short_period,params_position_size,params_stop_loss,params_take_profit,user_attrs_cagr,user_attrs_max_drawdown,user_attrs_total_return,state
36,-inf,2025-11-06 17:41:29.614694,2025-11-06 17:41:29.623738,0 days 00:00:00.009044,18,2.205137895412941,13,8,24,15,43,46,0.8711835848438944,0.008136159957325872,0.021903637245837205,,,,COMPLETE
37,0.0,2025-11-06 17:41:29.626083,2025-11-06 17:41:29.638152,0 days 00:00:00.012069,21,1.5856377329275753,15,10,29,20,134,12,0.92448978834599,0.01686523896119905,0.015717074479883138,0.0,0.0,0.0,COMPLETE
38,0.0,2025-11-06 17:41:29.640416,2025-11-06 17:41:29.651283,0 days 00:00:00.010867,29,2.3373931967719246,8,9,22,16,117,42,0.22229626507293782,0.006717965827245703,0.0018952297256959836,0.0,0.0,0.0,COMPLETE
39,0.0,2025-11-06 17:41:29.654114,2025-11-06 17:41:29.665901,0 days 00:00:00.011787,10,1.7084600360626188,9,7,20,7,189,43,0.30376412336808817,0.0022310528662762255,0.0012706952732026956,0.0,0.0,0.0,COMPLETE
40,0.0,2025-11-06 17:41:29.668692,2025-11-06 17:41:29.680622,0 days 00:00:00.011930,17,2.039107139118336,10,11,23,9,80,48,0.6039798255079114,0.011363127572329821,0.006207238941871656,0.0,0.0,0.0,COMPLETE
41,0.0,2025-11-06 17:41:29.682990,2025-11-06 17:41:29.694840,0 days 00:00:00.011850,22,2.540363217815449,9,12,29,11,167,16,0.6903656979949587,0.03190248374030395,0.03509885924725619,0.0,0.0,0.0,COMPLETE
42,0.0,2025-11-06 17:41:29.697361,2025-11-06 17:41:29.708833,0 days 00:00:00.011472,20,2.312975183593603,8,11,30,12,153,8,0.7889168697730444,0.0026888980542863696,0.0475576935122207,0.0,0.0,0.0,COMPLETE
43,0.0,2025-11-06 17:41:29.711478,2025-11-06 17:41:29.723887,0 days 00:00:00.012409,24,2.815701139008542,9,12,27,10,139,20,0.3830958329115966,0.04910355053718801,0.02051327764291731,0.0,0.0,0.0,COMPLETE
44,0.0,2025-11-06 17:41:29.726187,2025-11-06 17:41:29.737858,0 days 00:00:00.011671,23,2.4281812347418605,10,11,28,13,193,23,0.14734305076811488,0.0018535924429433864,0.010241421182154823,0.0,0.0,0.0,COMPLETE
45,0.0,2025-11-06 17:41:29.740453,2025-11-06 17:41:29.752014,0 days 00:00:00.011561,14,2.2244265678946125,11,12,22,14,200,30,0.42758576472784193,0.014253871648046099,0.012245220998272199,0.0,0.0,0.0,COMPLETE
46,0.0,2025-11-06 17:41:29.754473,2025-11-06 17:41:29.766667,0 days 00:00:00.012194,18,1.7686049225641456,8,10,26,11,97,11,0.841876582376377,0.019187774906949364,0.01788950571220402,0.0,0.0,0.0,COMPLETE
